company_name,fu_id,zone,product,start_time_local,end_time_local,availability_mw_req,utilisation_mw_req,availability_price,utilisation_price,availability_mwh_req,utilisation_mwh_req,technology,dispatch_type,hours_requested,dispatch_method,start_time_utc,end_time_utc,time_utc
Axle Energy Limited,trowse-grid-33-da-ev-portfolio,Trowse Grid 33,Day-Ahead,2025-06-21T17:00:00+01:00,2025-06-21T19:00:00+01:00,0.0,0.39,0.0,238.0,0.0,0.78,EV Charger DSR,demand_turn_down,2.0,epex,2025-06-21 16:00:00+00:00,2025-06-21 18:00:00+00:00,16:00:00+00:00
Ev.energy,EV.E-HEND-SAOU-D20A,Hendon Way,Scheduled Availability,2025-06-21T11:30:00+01:00,2025-06-21T19:00:00+01:00,0.3,0.0,260.0,0.0,2.25,0.0,EV Charger DSR,demand_turn_down,7.5,epex,2025-06-21 10:30:00+00:00,2025-06-21 18:00:00+00:00,10:30:00+00:00
Octopus,OCTO-CATH-LTU-4846,CATHODEON CRYSTALS LV Zone,Long-Term Utilisation,2025-06-20T19:00:00+01:00,2025-06-20T21:30:00+01:00,0.0,0.012,0.0,37.0,0.0,0.03,EV Charger DSR,demand_turn_down,2.5,epex,2025-06-20 18:00:00+00:00,2025-06-20 20:30:00+00:00,18:00:00+00:00
OVO Energy,OVO -BRAM-DA-A9EB,Bramford Diss Thetford,Day-Ahead,2025-06-20T17:00:00+01:00,2025-06-20T19:00:00+01:00,0.0,0.042,0.0,0.0,0.0,0.08,EV Charger DSR,demand_turn_down,2.0,epex,2025-06-20 16:00:00+00:00,2025-06-20 18:00:00+00:00,16:00:00+00:00
Octopus,OCTO-SITT-LTU-ED81,Sittingbourne Town,Long-Term Utilisation,2025-06-20T17:00:00+01:00,2025-06-20T18:00:00+01:00,0.0,0.085,0.0,28.0,0.0,0.08,EV Charger DSR,demand_turn_down,1.0,epex,2025-06-20 16:00:00+00:00,2025-06-20 17:00:00+00:00,16:00:00+00:00
Octopus,OCTO-SEVI-LTU-38F1,Sevington Total,Long-Term Utilisation,2025-06-20T16:00:00+01:00,2025-06-20T19:00:00+01:00,0.0,0.344,0.0,136.0,0.0,1.03,EV Charger DSR,demand_turn_down,3.0,epex,2025-06-20 15:00:00+00:00,2025-06-20 18:00:00+00:00,15:00:00+00:00
OVO Energy,CA62-WILL-PR-CADD,Willesden Grid,Peak Reduction,2025-06-20T16:00:00+01:00,2025-06-20T18:00:00+01:00,0.0,0.05,0.0,123.85,0.0,0.1,EV Charger DSR,demand_turn_down,2.0,epex,2025-06-20 15:00:00+00:00,2025-06-20 17:00:00+00:00,15:00:00+00:00
Octopus,OCTO-SELW-LTU-02DE,Selwyn Road,Long-Term Utilisation,2025-06-20T15:00:00+01:00,2025-06-20T19:00:00+01:00,0.0,0.049,0.0,58.0,0.0,0.2,EV Charger DSR,demand_turn_down,4.0,epex,2025-06-20 14:00:00+00:00,2025-06-20 18:00:00+00:00,14:00:00+00:00
OVO Energy,CA62-EAST-PR-5288,East Enfield,Peak Reduction,2025-06-20T12:00:00+01:00,2025-06-20T14:00:00+01:00,0.0,0.01,0.0,553.85,0.0,0.02,EV Charger DSR,demand_turn_down,2.0,epex,2025-06-20 11:00:00+00:00,2025-06-20 13:00:00+00:00,11:00:00+00:00
Ev.energy,EV.E-HEND-SAOU-D20A,Hendon Way,Scheduled Availability,2025-06-20T11:30:00+01:00,2025-06-20T19:00:00+01:00,0.3,0.0,260.0,0.0,2.25,0.0,EV Charger DSR,demand_turn_down,7.5,epex,2025-06-20 10:30:00+00:00,2025-06-20 18:00:00+00:00,10:30:00+00:00
Octopus,OCTO-BRAM-LTU-DA28,Bramford Diss Thetford,Long-Term Utilisation,2025-06-20T11:00:00+01:00,2025-06-20T15:00:00+01:00,0.0,1.626,0.0,11.0,0.0,6.5,EV Charger DSR,demand_turn_down,4.0,epex,2025-06-20 10:00:00+00:00,2025-06-20 14:00:00+00:00,10:00:00+00:00
Axle Energy Limited,6930-KENN-PR-4624,Kenninghall,Peak Reduction,2025-06-20T11:00:00+01:00,2025-06-20T15:00:00+01:00,0.0,0.01,0.0,84.58,0.0,0.04,EV Charger DSR,demand_turn_down,4.0,epex,2025-06-20 10:00:00+00:00,2025-06-20 14:00:00+00:00,10:00:00+00:00
Axle Energy Limited,march-primary-lt_saou-ev-c1-portfolio,March Primary,Scheduled Availability,2025-06-20T11:00:00+01:00,2025-06-20T11:30:00+01:00,0.013,0.0,52.0,0.0,0.01,0.0,EV Charger DSR,demand_turn_down,0.5,epex,2025-06-20 10:00:00+00:00,2025-06-20 10:30:00+00:00,10:00:00+00:00
Octopus,OCTO-WADD-LTU-E2B9,Waddesdon,Long-Term Utilisation,2025-06-20T11:00:00+01:00,2025-06-20T15:00:00+01:00,0.0,0.332,0.0,53.0,0.0,1.33,EV Charger DSR,demand_turn_down,4.0,epex,2025-06-20 10:00:00+00:00,2025-06-20 14:00:00+00:00,10:00:00+00:00
Axle Energy Limited,waddesdon-lt_saou-ev-c1-portfolio,Waddesdon,Scheduled Availability,2025-06-20T11:00:00+01:00,2025-06-20T15:00:00+01:00,0.019,0.0,32.0,0.0,0.08,0.0,EV Charger DSR,demand_turn_down,4.0,epex,2025-06-20 10:00:00+00:00,2025-06-20 14:00:00+00:00,10:00:00+00:00
Octopus,OCTO-W. W-LTU-1A48,W. Weybridge,Long-Term Utilisation,2025-06-20T11:00:00+01:00,2025-06-20T15:00:00+01:00,0.0,0.41,0.0,59.0,0.0,1.64,EV Charger DSR,demand_turn_down,4.0,epex,2025-06-20 10:00:00+00:00,2025-06-20 14:00:00+00:00,10:00:00+00:00
Octopus,OCTO-SMEE-LTU-A3D3,Smeeth,Long-Term Utilisation,2025-06-20T08:00:00+01:00,2025-06-20T23:00:00+01:00,0.0,0.032,0.0,91.0,0.0,0.48,EV Charger DSR,demand_turn_down,15.0,epex,2025-06-20 07:00:00+00:00,2025-06-20 22:00:00+00:00,07:00:00+00:00
Octopus,OCTO-WITT-LTU-FA37,Wittersham,Long-Term Utilisation,2025-06-20T08:00:00+01:00,2025-06-20T23:00:00+01:00,0.0,0.018,0.0,43.0,0.0,0.27,EV Charger DSR,demand_turn_down,15.0,epex,2025-06-20 07:00:00+00:00,2025-06-20 22:00:00+00:00,07:00:00+00:00
Octopus,OCTO-ARUN-LTU-0F86,ARUNDEL WAY LV Zone,Long-Term Utilisation,2025-06-19T19:00:00+01:00,2025-06-19T21:30:00+01:00,0.0,0.02,0.0,37.0,0.0,0.05,EV Charger DSR,demand_turn_down,2.5,epex,2025-06-19 18:00:00+00:00,2025-06-19 20:30:00+00:00,18:00:00+00:00
Ev.energy,EV.E-WROT-SAOU-77D7,Wrotham,Scheduled Availability,2025-06-19T18:00:00+01:00,2025-06-19T21:00:00+01:00,0.012,0.0,500.0,0.0,0.04,0.0,EV Charger DSR,demand_turn_down,3.0,epex,2025-06-19 17:00:00+00:00,2025-06-19 20:00:00+00:00,17:00:00+00:00
Ev.energy,EV.E-HAVE-SAOU-0DDA,Haverhill,Scheduled Availability,2025-06-19T16:30:00+01:00,2025-06-19T20:00:00+01:00,0.07,0.0,375.0,0.0,0.24,0.0,EV Charger DSR,demand_turn_down,3.5,epex,2025-06-19 15:30:00+00:00,2025-06-19 19:00:00+00:00,15:30:00+00:00
